shipping_id,order_id,delivery_status
1,7136,Delivered
2,1107,Delivered
3,2787,Delivered
4,1033,Delivered
5,19241,Delivered
6,6035,Delivered
7,1069,Delivered
8,4499,Delivered
9,11560,Delivered
10,17500,Delivered
11,14043,Delivered
12,1761,Delivered
13,11416,Delivered
14,4461,Delivered
15,3291,Delivered
16,8262,Delivered
17,11768,Delivered
18,17468,Delivered
19,12838,Delivered
20,14299,Delivered
21,9270,Delivered
22,16246,Delivered
23,837,Delivered
24,4429,Delivered
25,11566,Delivered
26,3893,Delivered
27,6581,Delivered
28,17054,Delivered
29,13553,Delivered
30,7110,Delivered
31,19741,Delivered
32,4899,Delivered
33,11288,Delivered
34,16726,Delivered
35,3017,Delivered
36,4613,Delivered
37,6651,Delivered
38,1463,Delivered
39,2771,Delivered
40,4133,Delivered
41,15994,Delivered
42,2923,Delivered
43,10330,Delivered
44,15351,Delivered
45,3829,Delivered
46,7618,Delivered
47,12556,Delivered
48,1705,Delivered
49,1859,Delivered
50,7404,Delivered
51,13507,Delivered
52,12246,Delivered
53,14153,Delivered
54,5821,Delivered
55,19759,Delivered
56,11104,Delivered
57,6785,Delivered
58,10564,Delivered
59,6289,Delivered
60,2909,Delivered
61,7174,Delivered
62,1367,Delivered
63,729,Delivered
64,9636,Delivered
65,10662,Delivered
66,12024,Delivered
67,3939,Delivered
68,3645,Delivered
69,8474,Delivered
70,13075,Delivered
71,9074,Delivered
72,11204,Delivered
73,9488,Delivered
74,16046,Delivered
75,6633,Delivered
76,8038,Delivered
77,8964,Delivered
78,13205,Delivered
79,12634,Delivered
80,5007,Delivered
81,7220,Delivered
82,489,Delivered
83,14679,Delivered
84,2709,Delivered
85,19599,Delivered
86,17140,Delivered
87,2601,Delivered
88,4205,Delivered
89,15928,Delivered
90,4449,Delivered
91,3361,Delivered
92,4875,Delivered
93,5535,Delivered
94,3323,Delivered
95,5837,Delivered
96,18949,Delivered
97,5957,Delivered
98,9442,Delivered
99,18433,Delivered
100,7248,Delivered
101,11046,Delivered
102,1347,Delivered
103,18357,Delivered
104,13745,Delivered
105,8628,Delivered
106,15025,Delivered
107,4761,Delivered
108,3309,Delivered
109,12174,Delivered
110,15187,Delivered
111,87,Delivered
112,14627,Delivered
113,14527,Delivered
114,8382,Delivered
115,13217,Delivered
116,15625,Delivered
117,17556,Delivered
118,1095,Delivered
119,13717,Delivered
120,521,Delivered
121,19929,Delivered
122,10582,Delivered
123,16242,Delivered
124,15724,Delivered
125,8720,Delivered
126,16628,Delivered
127,6323,Delivered
128,109,Delivered
129,3049,Delivered
130,15814,Delivered
131,14319,Delivered
132,15716,Delivered
133,18913,Delivered
134,3671,Delivered
135,17086,Delivered
136,12876,Delivered
137,2379,Delivered
138,14965,Delivered
139,1733,Delivered
140,17106,Delivered
141,10428,Delivered
142,12844,Delivered
143,11418,Delivered
144,7132,Delivered
145,9728,Delivered
146,8736,Delivered
147,17699,Delivered
148,527,Delivered
149,11588,Delivered
150,17877,Delivered
151,1109,Delivered
152,17400,Delivered
153,2841,Delivered
154,19589,Delivered
155,9002,Delivered
156,13225,Delivered
157,423,Delivered
158,10622,Delivered
159,7444,Delivered
160,1239,Delivered
161,3815,Delivered
162,3475,Delivered
163,8782,Delivered
164,17230,Delivered
165,4989,Delivered
166,14433,Delivered
167,14137,Delivered
168,2965,Delivered
169,12110,Delivered
170,6589,Delivered
171,13223,Delivered
172,5345,Delivered
173,19961,Delivered
174,11404,Delivered
175,7046,Delivered
176,13421,Delivered
177,289,Delivered
178,4479,Delivered
179,6217,Delivered
180,105,Delivered
181,16612,Delivered
182,17983,Delivered
183,13127,Delivered
184,11254,Delivered
185,19661,Delivered
186,18053,Delivered
187,15373,Delivered
188,6867,Delivered
189,5991,Delivered
190,19539,Delivered
191,11432,Delivered
192,18469,Delivered
193,16756,Delivered
194,5749,Delivered
195,18815,Delivered
196,1079,Delivered
197,9936,Delivered
198,3175,Delivered
199,14735,Delivered
200,13643,Delivered
201,14487,Delivered
202,5875,Delivered
203,10162,Delivered
204,8954,Delivered
205,18121,Delivered
206,13549,Delivered
207,14463,Delivered
208,1583,Delivered
209,16684,Delivered
210,11266,Delivered
211,12108,Delivered
212,15405,Delivered
213,19833,Delivered
214,23,Delivered
215,8096,Delivered
216,10598,Delivered
217,2427,Delivered
218,12058,Delivered
219,5099,Delivered
220,3653,Delivered
221,5257,Delivered
222,2005,Delivered
223,8026,Delivered
224,15593,Delivered
225,10896,Delivered
226,19551,Delivered
227,18017,Delivered
228,1541,Delivered
229,9132,Delivered
230,2451,Delivered
231,12832,Delivered
232,11778,Delivered
233,13057,Delivered
234,12884,Delivered
235,3239,Delivered
236,11066,Delivered
237,16156,Delivered
238,9876,Delivered
239,7716,Delivered
240,10948,Delivered
241,8364,Delivered
242,3519,Delivered
243,2201,Delivered
244,6955,Delivered
245,18257,Delivered
246,12856,Delivered
247,12964,Delivered
248,6413,Delivered
249,13373,Delivered
250,18035,Delivered
251,9456,Delivered
252,10908,Delivered
253,6097,Delivered
254,4745,Delivered
255,18603,Delivered
256,2089,Delivered
257,12989,Delivered
258,5781,Delivered
259,11206,Delivered
260,7846,Delivered
261,9792,Delivered
262,19051,Delivered
263,15065,Delivered
264,10526,Delivered
265,16116,Delivered
266,12782,Delivered
267,3951,Delivered
268,17785,Delivered
269,6731,Delivered
270,13519,Delivered
271,11906,Delivered
272,2689,Delivered
273,17484,Delivered
274,12144,Delivered
275,8112,Delivered
276,7162,Delivered
277,3303,Delivered
278,9612,Delivered
279,14371,Delivered
280,9038,Delivered
281,14067,Delivered
282,1821,Delivered
283,17669,Delivered
284,19027,Delivered
285,19807,Delivered
286,15115,Delivered
287,1995,Delivered
288,15912,Delivered
289,3597,Delivered
290,5317,Delivered
291,5097,Delivered
292,12242,Delivered
293,3251,Delivered
294,7200,Delivered
295,5863,Delivered
296,5561,Delivered
297,17599,Delivered
298,5,Delivered
299,10374,Delivered
300,19257,Delivered
301,5003,Delivered
302,16640,Delivered
303,5399,Delivered
304,18231,Delivered
305,6073,Delivered
306,6965,Delivered
307,14391,Delivered
308,15874,Delivered
309,6143,Delivered
310,1291,Delivered
311,5747,Delivered
312,14883,Delivered
313,7900,Delivered
314,15671,Delivered
315,13807,Delivered
316,7512,Delivered
317,18501,Delivered
318,11982,Delivered
319,17977,Delivered
320,8894,Delivered
321,6355,Delivered
322,10124,Delivered
323,9744,Delivered
324,19805,Delivered
325,4773,Delivered
326,19953,Delivered
327,4637,Delivered
328,5619,Delivered
329,6957,Delivered
330,10580,Delivered
331,7822,Delivered
332,5505,Delivered
333,16992,Delivered
334,9576,Delivered
335,14775,Delivered
336,4295,Delivered
337,16704,Delivered
338,9832,Delivered
339,2033,Delivered
340,5429,Delivered
341,10402,Delivered
342,17298,Delivered
343,2001,Delivered
344,16320,Delivered
345,5557,Delivered
346,16400,Delivered
347,6211,Delivered
348,7870,Delivered
349,11740,Delivered
350,16568,Delivered
351,3867,Delivered
352,2445,Delivered
353,13715,Delivered
354,15019,Delivered
355,8848,Delivered
356,8534,Delivered
357,19119,Delivered
358,14079,Delivered
359,14247,Delivered
360,8680,Delivered
361,4283,Delivered
362,3971,Delivered
363,10530,Delivered
364,16620,Delivered
365,15776,Delivered
366,9080,Delivered
367,14637,Delivered
368,6185,Delivered
369,15603,Delivered
370,18553,Delivered
371,5113,Delivered
372,13967,Delivered
373,4727,Delivered
374,11088,Delivered
375,19561,Delivered
376,15764,Delivered
377,13279,Delivered
378,1565,Delivered
379,9818,Delivered
380,13111,Delivered
381,18793,Delivered
382,2037,Delivered
383,1717,Delivered
384,1967,Delivered
385,17589,Delivered
386,17749,Delivered
387,8456,Delivered
388,11886,Delivered
389,10022,Delivered
390,1373,Delivered
391,12312,Delivered
392,7344,Delivered
393,12292,Delivered
394,8192,Delivered
395,883,Delivered
396,13739,Delivered
397,13093,Delivered
398,9234,Delivered
399,9564,Delivered
400,3009,Delivered
401,4223,Delivered
402,15738,Delivered
403,19175,Delivered
404,3811,Delivered
405,19039,Delivered
406,16316,Delivered
407,16062,Delivered
408,18427,Delivered
409,6763,Delivered
410,19947,Delivered
411,15381,Delivered
412,15075,Delivered
413,14879,Delivered
414,6347,Delivered
415,3483,Delivered
416,7056,Delivered
417,6849,Delivered
418,16054,Delivered
419,14859,Delivered
420,7776,Delivered
421,18381,Delivered
422,4845,Delivered
423,9748,Delivered
424,11656,Delivered
425,12690,Delivered
426,6111,Delivered
427,17965,Delivered
428,9784,Delivered
429,16916,Delivered
430,2625,Delivered
431,6707,Delivered
432,5179,Delivered
433,8328,Delivered
434,17424,Delivered
435,6517,Delivered
436,16268,Delivered
437,15455,Delivered
438,12278,Delivered
439,12258,Delivered
440,8278,Delivered
441,1185,Delivered
442,10084,Delivered
443,15730,Delivered
444,17166,Delivered
445,15263,Delivered
446,15774,Delivered
447,2859,Delivered
448,8470,Delivered
449,3975,Delivered
450,17272,Delivered
451,7734,Delivered
452,17811,Delivered
453,1283,Delivered
454,11814,Delivered
455,7228,Delivered
456,19129,Delivered
457,4043,Delivered
458,4009,Delivered
459,3709,Delivered
460,12612,Delivered
461,12348,Delivered
462,11612,Delivered
463,13021,Delivered
464,325,Delivered
465,9724,Delivered
466,13891,Delivered
467,19345,Delivered
468,6373,Delivered
469,7372,Delivered
470,1743,Delivered
471,9604,Delivered
472,12952,Delivered
473,443,Delivered
474,18205,Delivered
475,5377,Delivered
476,10262,Delivered
477,10612,Delivered
478,15111,Delivered
479,3385,Delivered
480,18545,Delivered
481,4731,Delivered
482,599,Delivered
483,6053,Delivered
484,8924,Delivered
485,3787,Delivered
486,6423,Delivered
487,4047,Delivered
488,8936,Delivered
489,2139,Delivered
490,1251,Delivered
491,1723,Delivered
492,14163,Delivered
493,699,Delivered
494,1487,Delivered
495,8164,Delivered
496,10350,Delivered
497,8454,Delivered
498,11374,Delivered
499,6395,Delivered
500,15876,Delivered
501,18115,Delivered
502,17162,Delivered
503,17661,Delivered
504,2493,Delivered
505,16428,Delivered
506,3183,Delivered
507,17442,Delivered
508,17276,Delivered
509,217,Delivered
510,16896,Delivered
511,4759,Delivered
512,55,Delivered
513,981,Delivered
514,18971,Delivered
515,8084,Delivered
516,771,Delivered
517,16510,Delivered
518,14537,Delivered
519,6313,Delivered
520,13419,Delivered
521,1429,Delivered
522,15792,Delivered
523,8586,Delivered
524,12534,Delivered
525,11922,Delivered
526,5639,Delivered
527,909,Delivered
528,5077,Delivered
529,13081,Delivered
530,17274,Delivered
531,4667,Delivered
532,19779,Delivered
533,19735,Delivered
534,13797,Delivered
535,5069,Delivered
536,2851,Delivered
537,19571,Delivered
538,5265,Delivered
539,19193,Delivered
540,9534,Delivered
541,5955,Delivered
542,2463,Delivered
543,10318,Delivered
544,19287,Delivered
545,17362,Delivered
546,761,Delivered
547,3191,Delivered
548,15185,Delivered
549,2433,Delivered
550,5555,Delivered
551,6433,Delivered
552,9874,Delivered
553,7042,Delivered
554,5667,Delivered
555,17096,Delivered
556,5311,Delivered
557,15483,Delivered
558,11828,Delivered
559,6293,Delivered
560,10716,Delivered
561,10134,Delivered
562,8106,Delivered
563,1325,Delivered
564,4151,Delivered
565,12432,Delivered
566,19091,Delivered
567,3101,Delivered
568,6311,Delivered
569,6569,Delivered
570,9544,Delivered
571,1137,Delivered
572,8804,Delivered
573,9484,Delivered
574,13721,Delivered
575,8500,Delivered
576,10484,Delivered
577,17120,Delivered
578,15728,Delivered
579,213,Delivered
580,16650,Delivered
581,2349,Delivered
582,19451,Delivered
583,10146,Delivered
584,18741,Delivered
585,14225,Delivered
586,11450,Delivered
587,18377,Delivered
588,17967,Delivered
589,7556,Delivered
590,18145,Delivered
591,3665,Delivered
592,15105,Delivered
593,15952,Delivered
594,16556,Delivered
595,8864,Delivered
596,17094,Delivered
597,14961,Delivered
598,6729,Delivered
599,16646,Delivered
600,8788,Delivered
601,5163,Delivered
602,16130,Delivered
603,16008,Delivered
604,14185,Delivered
605,13939,Delivered
606,6291,Delivered
607,3333,Delivered
608,9166,Delivered
609,18799,Delivered
610,3979,Delivered
611,11576,Delivered
612,4407,Delivered
613,3909,Delivered
614,1241,Delivered
615,12436,Delivered
616,12870,Delivered
617,10894,Delivered
618,16422,Delivered
619,1043,Delivered
620,1747,Delivered
621,11196,Delivered
622,15121,Delivered
623,6751,Delivered
624,15559,Delivered
625,18485,Delivered
626,6209,Delivered
627,2011,Delivered
628,6909,Delivered
629,10970,Delivered
630,14919,Delivered
631,19179,Delivered
632,19981,Delivered
633,769,Delivered
634,15665,Delivered
635,9298,Delivered
636,3143,Delivered
637,4601,Delivered
638,18407,Delivered
639,11428,Delivered
640,15976,Delivered
641,1887,Delivered
642,17675,Delivered
643,8812,Delivered
644,1171,Delivered
645,823,Delivered
646,11262,Delivered
647,1573,Delivered
648,8018,Delivered
649,16016,Delivered
650,12764,Delivered
651,13395,Delivered
652,16112,Delivered
653,7144,Delivered
654,6923,Delivered
655,12920,Delivered
656,5525,Delivered
657,7492,Delivered
658,17895,Delivered
659,9770,Delivered
660,11580,Delivered
661,10390,Delivered
662,6931,Delivered
663,3977,Delivered
664,323,Delivered
665,13429,Delivered
666,8540,Delivered
667,6765,Delivered
668,19637,Delivered
669,7310,Delivered
670,1267,Delivered
671,13783,Delivered
672,1973,Delivered
673,6777,Delivered
674,7676,Delivered
675,11792,Delivered
676,18387,Delivered
677,1917,Delivered
678,4641,Delivered
679,14091,Delivered
680,13951,Delivered
681,1827,Delivered
682,19483,Delivered
683,18539,Delivered
684,2293,Delivered
685,11458,Delivered
686,10856,Delivered
687,12428,Delivered
688,5403,Delivered
689,3305,Delivered
690,4041,Delivered
691,1153,Delivered
692,2359,Delivered
693,10628,Delivered
694,15722,Delivered
695,8836,Delivered
696,673,Delivered
697,617,Delivered
698,14011,Delivered
699,12784,Delivered
700,12418,Delivered
701,19441,Delivered
702,15615,Delivered
703,5499,Delivered
704,16544,Delivered
705,11282,Delivered
706,13987,Delivered
707,10440,Delivered
708,441,Delivered
709,16474,Delivered
710,5631,Delivered
711,19761,Delivered
712,17833,Delivered
713,7510,Delivered
714,18557,Delivered
715,3703,Delivered
716,13557,Delivered
717,3731,Delivered
718,12886,Delivered
719,10478,Delivered
720,8988,Delivered
721,9886,Delivered
722,5327,Delivered
723,17502,Delivered
724,10020,Delivered
725,13007,Delivered
726,19093,Delivered
727,17813,Delivered
728,3391,Delivered
729,8404,Delivered
730,15073,Delivered
731,6743,Delivered
732,3659,Delivered
733,10488,Delivered
734,16074,Delivered
735,9752,Delivered
736,12578,Delivered
737,2655,Delivered
738,12288,Delivered
739,12792,Delivered
740,2873,Delivered
741,8714,Delivered
742,6653,Delivered
743,19973,Delivered
744,12938,Delivered
745,18781,Delivered
746,11462,Delivered
747,19249,Delivered
748,13589,Delivered
749,3149,Delivered
750,12981,Delivered
751,707,Delivered
752,3231,Delivered
753,11856,Delivered
754,14425,Delivered
755,9480,Delivered
756,16812,Delivered
757,13497,Delivered
758,14973,Delivered
759,19909,Delivered
760,2791,Delivered
761,1633,Delivered
762,14953,Delivered
763,13109,Delivered
764,7624,Delivered
765,3097,Delivered
766,18555,Delivered
767,3431,Delivered
768,12518,Delivered
769,13095,Delivered
770,10244,Delivered
771,6845,Delivered
772,1047,Delivered
773,16660,Delivered
774,8110,Delivered
775,15231,Delivered
776,435,Delivered
777,2075,Delivered
778,13825,Delivered
779,4993,Delivered
780,13619,Delivered
781,9088,Delivered
782,18413,Delivered
783,8114,Delivered
784,14445,Delivered
785,14337,Delivered
786,19375,Delivered
787,12524,Delivered
788,10382,Delivered
789,14969,Delivered
790,6087,Delivered
791,2257,Delivered
792,18013,Delivered
793,18737,Delivered
794,16164,Delivered
795,10868,Delivered
796,14383,Delivered
797,2093,Delivered
798,10210,Delivered
799,13775,Delivered
800,1311,Delivered
801,7568,Delivered
802,14893,Delivered
803,16132,Delivered
804,9968,Delivered
805,10954,Delivered
806,641,Delivered
807,491,Delivered
808,11786,Delivered
809,5295,Delivered
810,14417,Delivered
811,16312,Delivered
812,6683,Delivered
813,2695,Delivered
814,2901,Delivered
815,4577,Delivered
816,7256,Delivered
817,12086,Delivered
818,18405,Delivered
819,8708,Delivered
820,703,Delivered
821,16050,Delivered
822,6215,Delivered
823,12842,Delivered
824,17807,Delivered
825,9008,Delivered
826,4005,Delivered
827,18587,Delivered
828,9912,Delivered
829,18025,Delivered
830,12790,Delivered
831,5759,Delivered
832,353,Delivered
833,18409,Delivered
834,15998,Delivered
835,16506,Delivered
836,13755,Delivered
837,5723,Delivered
838,6994,Delivered
839,7762,Delivered
840,14031,Delivered
841,1375,Delivered
842,155,Delivered
843,14429,Delivered
844,6131,Delivered
845,17312,Delivered
846,18373,Delivered
847,15696,Delivered
848,19663,Delivered
849,10632,Delivered
850,12216,Delivered
851,8884,Delivered
852,8974,Delivered
853,2361,Delivered
854,13243,Delivered
855,10448,Delivered
856,3499,Delivered
857,295,Delivered
858,8130,Delivered
859,18125,Delivered
860,17957,Delivered
861,15539,Delivered
862,4791,Delivered
863,5743,Delivered
864,12522,Delivered
865,2179,Delivered
866,8700,Delivered
867,3747,Delivered
868,14549,Delivered
869,1127,Delivered
870,14209,Delivered
871,18337,Delivered
872,18417,Delivered
873,6815,Delivered
874,17082,Delivered
875,15205,Delivered
876,13267,Delivered
877,5691,Delivered
878,4415,Delivered
879,19085,Delivered
880,17076,Delivered
881,17058,Delivered
882,11912,Delivered
883,5063,Delivered
884,1501,Delivered
885,8738,Delivered
886,16570,Delivered
887,8978,Delivered
888,14183,Delivered
889,7986,Delivered
890,785,Delivered
891,18733,Delivered
892,17408,Delivered
893,9078,Delivered
894,12648,Delivered
895,14291,Delivered
896,4093,Delivered
897,12542,Delivered
898,19949,Delivered
899,12236,Delivered
900,17216,Delivered
901,19831,Delivered
902,16414,Delivered
903,7936,Delivered
904,15067,Delivered
905,477,Delivered
906,5969,Delivered
907,11280,Delivered
908,2285,Delivered
909,9344,Delivered
910,10024,Delivered
911,17901,Delivered
912,12090,Delivered
913,7508,Delivered
914,2439,Delivered
915,1775,Delivered
916,18917,Delivered
917,7678,Delivered
918,3755,Delivered
919,9250,Delivered
920,2785,Delivered
921,16420,Delivered
922,14981,Delivered
923,16564,Delivered
924,5677,Delivered
925,3525,Delivered
926,17933,Delivered
927,13493,Delivered
928,9950,Delivered
929,13407,Delivered
930,13875,Delivered
931,6219,Delivered
932,3711,Delivered
933,17753,Delivered
934,9304,Delivered
935,2751,Delivered
936,11950,Delivered
937,17172,Delivered
938,6503,Delivered
939,8168,Delivered
940,15389,Delivered
941,16706,Delivered
942,12922,Delivered
943,9974,Delivered
944,3199,Delivered
945,1455,Delivered
946,4937,Delivered
947,8556,Delivered
948,4127,Delivered
949,7928,Delivered
950,11036,Delivered
951,5251,Delivered
952,17458,Delivered
953,18577,Delivered
954,8920,Delivered
955,147,Delivered
956,6727,Delivered
957,3735,Delivered
958,12979,Delivered
959,6998,Delivered
960,9182,Delivered
961,2659,Delivered
962,9620,Delivered
963,7072,Delivered
964,4391,Delivered
965,3213,Delivered
966,15768,Delivered
967,885,Delivered
968,987,Delivered
969,15505,Delivered
970,7972,Delivered
971,1715,Delivered
972,15780,Delivered
973,3439,Delivered
974,8858,Delivered
975,7012,Delivered
976,6875,Delivered
977,6129,Delivered
978,14313,Delivered
979,18107,Delivered
980,5635,Delivered
981,18255,Delivered
982,8318,Delivered
983,17176,Delivered
984,13435,Delivered
985,6205,Delivered
986,7082,Delivered
987,19959,Delivered
988,16282,Delivered
989,7446,Delivered
990,4959,Delivered
991,7652,Delivered
992,6895,Delivered
993,15305,Delivered
994,2305,Delivered
995,4965,Delivered
996,16108,Delivered
997,1763,Delivered
998,15155,Delivered
999,7148,Delivered
1000,19351,Delivered
1001,19005,Delivered
1002,13263,Delivered
1003,6925,Delivered
1004,13947,Delivered
1005,7088,Delivered
1006,10832,Delivered
1007,751,Delivered
1008,5093,Delivered
1009,10872,Delivered
1010,6933,Delivered
1011,12840,Delivered
1012,1823,Delivered
1013,4297,Delivered
1014,13099,Delivered
1015,10270,Delivered
1016,19161,Delivered
1017,15663,Delivered
1018,3819,Delivered
1019,12974,Delivered
1020,7728,Delivered
1021,5629,Delivered
1022,11860,Delivered
1023,19191,Delivered
1024,11436,Delivered
1025,17084,Delivered
1026,7100,Delivered
1027,833,Delivered
1028,1595,Delivered
1029,129,Delivered
1030,14423,Delivered
1031,12400,Delivered
1032,14169,Delivered
1033,3669,Delivered
1034,8644,Delivered
1035,8148,Delivered
1036,2303,Delivered
1037,2249,Delivered
1038,11246,Delivered
1039,12318,Delivered
1040,6499,Delivered
1041,6695,Delivered
1042,5457,Delivered
1043,14583,Delivered
1044,4433,Delivered
1045,16642,Delivered
1046,19509,Delivered
1047,14157,Delivered
1048,1029,Delivered
1049,9428,Delivered
1050,7860,Delivered
1051,6967,Delivered
1052,191,Delivered
1053,15379,Delivered
1054,14177,Delivered
1055,12736,Delivered
1056,19473,Delivered
1057,15718,Delivered
1058,541,Delivered
1059,12995,Delivered
1060,2295,Delivered
1061,17392,Delivered
1062,3179,Delivered
1063,11292,Delivered
1064,7740,Delivered
1065,7622,Delivered
1066,15621,Delivered
1067,4063,Delivered
1068,269,Delivered
1069,14553,Delivered
1070,19397,Delivered
1071,1651,Delivered
1072,667,Delivered
